hessSRR094424,shiSRR873453,stewartERR2027897,stewartERR2027900,stewartERR2027917,hessSRR094417,stewartERR2027930,wallaceERR983267,shiSRR873460,shiSRR873452,stewartERR2027891,wallaceERR983263,shiSRR873606,stewartERR2027921,stewartERR2027890,stewartERR2027903,stewartERR2027904,wallaceERR2027890,shiSRR873603,stewartERR2027895,hessSRR094427,wallaceERR2282092,stewartERR2027928,shiSRR873601,hessSRR094416,wallaceERR983268,stewartERR2027914,stewartERR2027905,wallaceERR983265,shiSRR873461,shiSRR873450,stewartERR2027924,shiSRR873457,stewartERR2027919,stewartERR2027925,stewartERR2027910,shiSRR1267595,stewartERR2027927,shiSRR1222429,shiSRR873463,stewartERR2027894,stewartERR2027899,stewartERR2027920,wallaceERR983264,shiSRR873455,wallaceERR2530126,stewartERR2027915,shiSRR873458,stewartERR2027916,stewartERR2027907,shiSRR873456,stewartERR2027901,hessSRR094403,stewartERR2027913,hessSRR094418,shiSRR873598,shiSRR873465,shiSRR873607,shiSRR873600,hessSRR094428,wallaceERR983269,shiSRR873602,stewartERR2027926,stewartERR2027923,shiSRR873464,shiSRR873608,stewartERR2027908,stewartERR2027893,shiSRR1222431,hessSRR094166,stewartERR2027898,stewartERR2027902,shiSRR873605,stewartERR2027909,stewartERR2027929,shiSRR873454,wallaceERR2530127,wallaceERR983266,shiSRR873595,shiSRR873610,hessSRR094405,wallaceERR983262,wallaceERR2027889,stewartERR2027892,stewartERR2027912,stewartERR2027906,shiSRR873451,hessSRR094419,shiSRR873609,shiSRR873596,stewartERR2027896,stewartERR2027922,stewartERR2027918,stewartERR2027889,shiSRR873462,shiSRR873459,shiSRR873599,stewartERR2027911,hessSRR094415,shiSRR873604,shiSRR873597
MEG_7237|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7174|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,945.0,0,0,0,0,0,0,45.0,0,0,0,78.0,0,0,67.0,0,75.0,0,0,69.0,310.0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0,0,0,52.0,0,0,227.0,0,0,0,0,0,0,0,0,0,854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0,0,0,59.0,0,0,328.0,0,0,91.0,0,0,0,0,0,0,0,0,0,0
MEG_7175|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,610.0,0,38.0,0,0,0,26.0,0,0,0,0,181.0,0,0,0,0,132.0,0,0,52.0,0,0,0,0,0,87.0,0,117.0,0,0,0,33.0,0,38.0,0,42.0,0,39.0,0,0,89.0,126.0,0,589.0,0,0,32.0,0,69.0,0,0,199.0,0,47.0,0,0,0,0,0,565.0,0,0,0,40.0,0,0,47.0,0,0,0,177.0,0,0,0,47.0,0,0,0,0,0,0,0,74.0,56.0,44.0,0,0,250.0,0,0,0,0,0,74.0,0,0,0,0,0,0,0
MEG_6632|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5378|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3816|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,2079.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7235|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1468.0,0,153.0,340.0,102.0,77.0,96.0,86.0,0,0,45.0,201.0,0,190.0,161.0,102.0,311.0,72.0,0,265.0,415.0,559.0,117.0,0,98.0,100.0,138.0,307.0,150.0,0,0,130.0,0,129.0,93.0,201.0,0,120.0,0,0,173.0,413.0,187.0,344.0,0,272.0,192.0,0,218.0,1223.0,0,269.0,82.0,86.0,61.0,0,0,0,0,1310.0,73.0,0,168.0,148.0,0,0,144.0,81.0,0,83.0,182.0,147.0,0,179.0,205.0,0,87.0,52.0,0,0,0,149.0,110.0,304.0,106.0,244.0,0,459.0,0,0,270.0,130.0,98.0,110.0,0,0,0,127.0,98.0,0,0
MEG_7304|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,1296.0,0,0,0,0,0,0,0,0,0,388.0,2838.0,0,0,0,0,332.0,0,0,0,0,496.0,0,0,1170.0,391.0,0,0,0,0,0,0,0,0,493.0,0,711.0,0,0,0,0,598.0,0,2479.0,0,2299.0,2745.0,0,0,2307.0,338.0,0,0,3132.0,0,0,2212.0,0,0,0,2271.0,0,0,0,0,0,2505.0,2947.0,0,0,0,717.0,0,0,0,0,2111.0,1374.0,0,0,0,0,0,0,2247.0,0,0,1874.0,3796.0
MEG_2470|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2464|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2473|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,0,0,10.0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,3345.0,0,0,0,2344.0,0,17948.0,0,3527.0,4898.0,5798.0,0,4342.0,3681.0,0,14141.0,3564.0,18232.0,0,0,4639.0,0,0,0,0,5187.0,0,3770.0,0,0,14903.0,4163.0,0,0,5018.0,0,0,5538.0,0,0,0,0,0,0,0,0,0,3890.0,0,19076.0,0,17064.0,22889.0,0,0,13845.0,0,0,0,19552.0,0,3873.0,19013.0,0,5836.0,0,17450.0,4520.0,0,0,0,0,28531.0,18524.0,0,0,0,4957.0,0,5206.0,0,0,18603.0,21247.0,0,0,0,0,0,0,18945.0,0,0,19564.0,27266.0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,9143.0,0,6069.0,6596.0,5562.0,0,5722.0,5569.0,0,0,3854.0,6363.0,21481.0,7998.0,5793.0,8399.0,9418.0,2797.0,6039.0,5380.0,0,18131.0,6139.0,28877.0,1245.0,7109.0,7546.0,6962.0,0,0,0,7771.0,0,7058.0,5594.0,6384.0,18939.0,7065.0,0,0,7042.0,9514.0,8039.0,9996.0,0,8495.0,6152.0,0,8429.0,9282.0,0,6617.0,1347.0,6957.0,1357.0,26709.0,0,24596.0,33845.0,8170.0,4621.0,21655.0,5330.0,6122.0,0,23365.0,7654.0,5420.0,27576.0,0,10873.0,6927.0,24977.0,8341.0,7878.0,0,7000.0,4322.0,34999.0,22214.0,1405.0,4427.0,5886.0,7279.0,7604.0,8084.0,0,0,28101.0,32630.0,9867.0,6289.0,4903.0,5886.0,0,0,26120.0,5936.0,1366.0,28171.0,31936.0
MEG_7168|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1179.0,0,69.0,129.0,0,0,33.0,0,0,0,37.0,363.0,0,110.0,55.0,0,366.0,0,0,82.0,349.0,587.0,70.0,0,70.0,113.0,69.0,286.0,143.0,0,0,70.0,0,0,75.0,69.0,0,76.0,0,0,146.0,224.0,89.0,1551.0,0,392.0,74.0,0,101.0,326.0,0,437.0,68.0,77.0,62.0,0,0,0,0,1072.0,66.0,0,78.0,70.0,0,0,77.0,63.0,0,41.0,189.0,81.0,0,114.0,76.0,0,95.0,55.0,0,0,51.0,468.0,104.0,118.0,74.0,302.0,0,396.0,0,0,149.0,0,0,104.0,0,0,0,83.0,72.0,0,0
MEG_1289|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7598|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,187.0,0,0,0,35.0,0,67.0,64.0,0,0,0,61.0,0,52.0,64.0,0,34.0,29.0,0,54.0,0,0,35.0,0,0,61.0,40.0,72.0,0,0,0,44.0,0,86.0,61.0,73.0,0,67.0,0,0,44.0,349.0,63.0,186.0,0,0,77.0,0,173.0,30.0,0,49.0,0,140.0,0,0,0,0,0,168.0,0,0,45.0,27.0,0,0,36.0,49.0,0,0,357.0,74.0,0,43.0,110.0,0,0,48.0,0,0,0,45.0,92.0,44.0,87.0,0,0,0,0,0,66.0,50.0,31.0,92.0,0,0,0,52.0,0,0,0
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,4905.0,0,797.0,1482.0,370.0,126.0,617.0,72.0,0,0,119.0,910.0,0,653.0,391.0,4367.0,1686.0,198.0,0,1934.0,1582.0,635.0,288.0,0,0,171.0,466.0,4534.0,3140.0,0,0,701.0,0,424.0,495.0,700.0,0,577.0,0,0,1248.0,1281.0,1322.0,1482.0,0,1799.0,215.0,0,496.0,1107.0,0,2354.0,98.0,280.0,125.0,0,0,0,0,3976.0,69.0,0,1580.0,669.0,0,0,2038.0,1036.0,0,118.0,3771.0,979.0,0,1610.0,345.0,0,984.0,176.0,0,0,113.0,1965.0,384.0,1114.0,392.0,2627.0,0,2011.0,0,0,275.0,240.0,812.0,384.0,0,0,0,723.0,123.0,0,0
MEG_6638|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,7118.0,0,947.0,1733.0,318.0,98.0,729.0,120.0,0,0,149.0,1176.0,0,754.0,508.0,3679.0,2005.0,220.0,0,2888.0,2511.0,982.0,359.0,0,0,255.0,437.0,5420.0,4188.0,0,0,659.0,0,375.0,672.0,595.0,0,686.0,0,0,1517.0,1312.0,1354.0,1731.0,0,2957.0,150.0,0,540.0,1398.0,0,3014.0,129.0,379.0,0,0,0,0,0,5917.0,125.0,0,624.0,1038.0,0,0,2593.0,1078.0,0,0,3231.0,1118.0,0,1498.0,209.0,0,3708.0,178.0,0,0,91.0,2824.0,506.0,1052.0,450.0,4288.0,0,3107.0,0,0,283.0,357.0,944.0,506.0,0,0,0,352.0,141.0,0,0
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,211.0,0,62.0,41.0,50.0,0,93.0,78.0,0,0,0,60.0,0,84.0,48.0,0,41.0,0,0,65.0,0,0,70.0,0,0,50.0,27.0,48.0,0,0,0,40.0,0,83.0,46.0,125.0,0,35.0,0,0,63.0,106.0,70.0,150.0,0,0,123.0,0,161.0,35.0,0,55.0,0,161.0,0,0,0,0,0,174.0,0,0,70.0,26.0,0,0,51.0,175.0,0,0,823.0,105.0,0,0,99.0,0,0,0,0,0,0,0,140.0,48.0,128.0,45.0,0,0,0,0,38.0,58.0,37.0,140.0,0,0,0,123.0,0,0,0
MEG_7160|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,265.0,0,56.0,0,0,0,0,55.0,0,0,0,52.0,0,42.0,31.0,0,0,0,0,50.0,0,0,31.0,0,0,49.0,26.0,41.0,0,0,0,0,0,36.0,35.0,117.0,0,0,0,0,54.0,47.0,42.0,82.0,0,0,47.0,0,90.0,32.0,0,49.0,0,75.0,0,0,0,0,97.0,230.0,0,0,0,0,0,0,39.0,27.0,0,0,636.0,57.0,0,0,66.0,0,0,58.0,0,0,0,0,84.0,0,48.0,35.0,0,0,0,0,26.0,0,33.0,84.0,0,0,0,0,0,0,0
MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,31813.0,0,19121.0,19162.0,20472.0,4775.0,18249.0,19700.0,0,0,11291.0,21658.0,57249.0,29323.0,17575.0,22573.0,31243.0,8640.0,25099.0,16503.0,0,62711.0,19429.0,131553.0,4420.0,21716.0,25491.0,23430.0,7987.0,0,0,22429.0,0,25740.0,17381.0,22578.0,51289.0,20885.0,0,0,21721.0,28411.0,26852.0,37762.0,0,13691.0,23536.0,0,29978.0,38724.0,0,20155.0,4605.0,24347.0,4311.0,137575.0,0,100059.0,143497.0,27757.0,17169.0,103610.0,16884.0,20294.0,0,109717.0,23912.0,13315.0,100774.0,4653.0,37592.0,20334.0,91790.0,30573.0,29050.0,0,15310.0,16328.0,154372.0,98762.0,4431.0,14992.0,20107.0,23032.0,27135.0,21090.0,0,0,105715.0,120230.0,36644.0,22249.0,12966.0,20107.0,0,0,97144.0,23378.0,4892.0,99774.0,177748.0
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,7724.0,0,0,1445.0,582.0,957.0,917.0,5179.0,6019.0,709.0,0,2881.0,1771.0,967.0,1028.0,0,499.0,1164.0,0,0,5406.0,1192.0,5131.0,0,0,1653.0,0,0,6237.0,3576.0,1328.0,6082.0,1627.0,1177.0,1192.0,1930.0,1498.0,0,5669.0,0,0,1497.0,0,4187.0,0,1469.0,7795.0,0,0,5690.0,0,491.0,1313.0,0,3686.0,4555.0,4752.0,4454.0,0,0,3552.0,1241.0,1031.0,4876.0,5742.0,1720.0,878.0,6325.0,0,1268.0,1406.0,4539.0,1725.0,1751.0,3903.0,0,0,5265.0,3534.0,0,0,1066.0,1289.0,1531.0,0,4084.0,0,5359.0,3619.0,1925.0,1363.0,909.0,1066.0,4264.0,4380.0,4346.0,1538.0,0,5080.0,5110.0
MEG_1174|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,10913.0,0,4340.0,3522.0,3435.0,0,4743.0,3860.0,0,0,2700.0,5219.0,14617.0,4221.0,6173.0,5703.0,8009.0,2795.0,3147.0,4733.0,0,10915.0,3968.0,12897.0,0,5438.0,5579.0,0,0,0,0,5758.0,0,4881.0,4358.0,4486.0,10444.0,4808.0,0,0,7875.0,0,5218.0,10561.0,0,9860.0,3621.0,0,5377.0,4339.0,0,5259.0,0,4487.0,0,11870.0,0,11397.0,13378.0,9618.0,0,8889.0,3435.0,4449.0,0,14526.0,6190.0,7582.0,13985.0,0,4460.0,4338.0,13588.0,4982.0,3997.0,0,5820.0,5388.0,15541.0,13284.0,0,4612.0,3548.0,7877.0,4244.0,0,0,0,14254.0,16013.0,7057.0,3372.0,4581.0,3548.0,0,0,10643.0,4006.0,0,13580.0,13127.0
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7162|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,230.0,0,0,33.0,39.0,0,69.0,93.0,0,0,0,73.0,0,69.0,77.0,0,45.0,42.0,0,34.0,0,0,58.0,0,0,79.0,48.0,32.0,0,0,0,71.0,0,109.0,79.0,59.0,0,59.0,0,0,38.0,406.0,73.0,221.0,0,0,69.0,0,125.0,0,0,28.0,0,103.0,0,0,0,0,0,161.0,32.0,0,34.0,22.0,0,0,54.0,68.0,0,0,145.0,78.0,0,51.0,104.0,0,0,0,0,0,0,39.0,77.0,69.0,111.0,36.0,0,0,0,0,77.0,34.0,42.0,77.0,0,0,0,0,0,0,0
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,5782.0,0,0,0,0,0,0,0,0,0,0,2668.0,0,0,0,0,0,0,0,0,0,0,4177.0,0,0,521.0,0,0,0,2612.0,0,4531.0,0,0,0,0,0,0,3199.0,0,0,0,0,3880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4774.0,0,0,0,0,0,2949.0,2749.0,0,0,2095.0,0,0,0,2182.0,0,0,0,0,0,4335.0,0,0,0,0,639.0,0,0,0,0,0,0,0,0,0,0,2602.0,0,3444.0,400.0,0,0,4812.0
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1842.0,5805.0,972.0,0,1016.0,551.0,872.0,749.0,4964.0,6036.0,598.0,0,2198.0,1385.0,862.0,601.0,0,438.0,806.0,740.0,0,2383.0,953.0,3788.0,0,693.0,1334.0,1459.0,0,4902.0,2671.0,1068.0,5453.0,1294.0,697.0,1009.0,1686.0,1179.0,0,3743.0,1751.0,932.0,1035.0,0,2568.0,0,1037.0,5620.0,1428.0,742.0,4581.0,842.0,478.0,952.0,0,2919.0,4896.0,3818.0,3687.0,1848.0,727.0,3029.0,854.0,847.0,3648.0,3547.0,1174.0,843.0,4703.0,0,914.0,1077.0,3606.0,870.0,1198.0,3994.0,653.0,0,5495.0,2646.0,520.0,0,878.0,1637.0,1271.0,852.0,4208.0,0,4609.0,3794.0,1639.0,1135.0,630.0,878.0,3792.0,3254.0,3875.0,1062.0,0,3803.0,4476.0
MEG_4194|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMJ,182.0,32.0,421.0,221.0,176.0,0,241.0,234.0,0,0,120.0,465.0,1609.0,552.0,255.0,308.0,386.0,118.0,222.0,193.0,0,251.0,258.0,3338.0,27.0,371.0,395.0,390.0,361.0,0,0,359.0,0,165.0,306.0,226.0,1254.0,417.0,0,0,184.0,295.0,358.0,585.0,0,65.0,241.0,0,456.0,380.0,0,189.0,24.0,358.0,25.0,962.0,43.0,2268.0,976.0,151.0,158.0,1091.0,885.0,523.0,0,1314.0,428.0,296.0,603.0,0,776.0,253.0,979.0,308.0,453.0,0,328.0,53.0,2132.0,1214.0,24.0,705.0,260.0,196.0,360.0,417.0,0,0,1677.0,1442.0,427.0,390.0,301.0,260.0,32.0,0,1449.0,284.0,23.0,1055.0,6444.0
MEG_6992|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,378.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,0,0,42.0,0,0,0,0,0,0,0,0,0,0
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,194.0,0,0,0,0,0,50.0,0,0,0,0,72.0,0,64.0,0,0,0,0,0,49.0,0,0,0,0,0,0,0,36.0,0,0,0,0,0,45.0,29.0,103.0,0,0,0,0,60.0,70.0,63.0,93.0,0,0,57.0,0,116.0,44.0,0,0,0,74.0,0,0,0,0,0,166.0,0,0,0,0,0,0,0,29.0,0,0,571.0,50.0,0,0,0,0,0,0,0,0,0,0,58.0,41.0,44.0,0,0,0,0,0,40.0,0,26.0,58.0,0,0,0,0,0,0,0
MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
